"job_title","activity_sector","job_function","required_experience","study_level","contract_type","remote_work","city"
"responsable rh |","marketing, communication, médias","rh, formation","junior (de 3 à 5 ans)","bac +2","cdi","non","casablanca"
"responsable commercial |","marketing, communication, médias","management, direction générale","junior (de 3 à 5 ans)","bac +2","cdi","non","casablanca"
"formateur en relation client |","centres d´appel, hotline, call center","métiers des services","débutant (de 1 à 3 ans)","bac +2","cdi","non","tanger"
"téléconseiller en prise des rdvs rénovations d'ampleur débutant ou expérimenté h/f (tanger) |","centres d´appel, hotline, call center","métiers des services","fraichement diplômé","bac +2","cdi","non","tanger"
"téléconseiller en prise des rdvs panneau photovoltaïque débutant ou expérimenté h/f |","centres d´appel, hotline, call center","métiers des services","fraichement diplômé","bac +2","cdi","non","tanger"
"technicien helpdesk -","btp, construction","métiers du btp","débutant (de 1 à 3 ans)","bac +2","cdi","non","rabat"
"contremaitre de production |","agroalimentaire","production, maintenance, qualité","senior (de 5 à 10 ans)","bac +2","cdi","non","casablanca"
"cadres commerciaux – transport international & freight forwarding (routier, aérien, maritime) |","transports, logistique, services postaux","achats","junior (de 3 à 5 ans)","bac +3","cdi","non","casablanca"
"electrical design leader |","electricité, eau, gaz, nucléaire, énergie","métiers du btp","junior (de 3 à 5 ans)","bac +5 et plus","cdi","hybride","casablanca"
"responsable d'affaires (h/f) |","equipements mécaniques, machines","métiers du btp","senior (de 5 à 10 ans)","bac +5 et plus","cdi","non","all"
"hr generalist |","centres d´appel, hotline, call center","rh, formation","junior (de 3 à 5 ans)","bac +4","cdi","non","rabat"
"technicien de laboratoire |","éducation, formation","gestion, comptabilité, finance","junior (de 3 à 5 ans)","qualification avant bac","cdi","non","benguérir"
"ingénieur sécurité et risques industriels |","agroalimentaire","production, maintenance, qualité","expert (10 ou plus)","bac +5 et plus","cdi","non","casablanca"
"testeur automaticien |","informatique, ssii, internet","informatique, nouvelles technologies","débutant (de 1 à 3 ans)","bac +5 et plus","cdi","hybride","casablanca"
"développeur java spring |","informatique, ssii, internet","informatique, nouvelles technologies","débutant (de 1 à 3 ans)","bac +5 et plus","cdi","hybride","casablanca"
"auditeur (h/f) |","conseil, audit, comptabilité","gestion, comptabilité, finance","senior (de 5 à 10 ans)","bac +5 et plus","cdi","non","casablanca"
"chargé(e) de la communication interne - junior |","marketing, communication, médias","marketing, communication","débutant (de 1 à 3 ans)","bac +5 et plus","cdi","non","casablanca"
"ingénieur devops |","informatique, ssii, internet","informatique, nouvelles technologies","débutant (de 1 à 3 ans)","bac +5 et plus","cdi","hybride","casablanca"
"manager d'équipe helpdesk (parfaitement bilingue) |","télécom","informatique, nouvelles technologies","junior (de 3 à 5 ans)","bac +3","cdi","non","casablanca"
"confirmateur des rendez-vous h/f |","centres d´appel, hotline, call center","métiers des services","débutant (de 1 à 3 ans)","bac +2","cdi","non","tanger"
"conseillers commerciaux sédentaires en protection juridique h/f - emission d'appels |","centres d´appel, hotline, call center","métiers des services","débutant (de 1 à 3 ans)","bac +2","cdi","non","casablanca"
"agent support n1/n2 (f/h) |","informatique, ssii, internet","informatique, nouvelles technologies","débutant (de 1 à 3 ans)","bac +3","cdi","hybride","fès"
"agent support n1/n2 (f/h) |","informatique, ssii, internet","informatique, nouvelles technologies","débutant (de 1 à 3 ans)","bac +3","cdi","hybride","casablanca"
"ingenieur en développement frontend angular/python |","informatique, ssii, internet","informatique, nouvelles technologies","junior (de 3 à 5 ans)","bac +5 et plus","cdi","hybride","casablanca"
"assistante polyvalente (h/f) |","santé, pharmacie, hôpitaux, équipements médicaux","management, direction générale","débutant (de 1 à 3 ans)","bac +3","cdi","non","casablanca"
"manager de rayon apls (autres produits libre service) - expérience en distribution exigée |","distribution, vente, commerce de gros","commercial, vente","junior (de 3 à 5 ans)","bac +2","cdi","non","casablanca"
"technical lead java |","informatique, ssii, internet","informatique, nouvelles technologies","senior (de 5 à 10 ans)","bac +5 et plus","cdi","hybride","casablanca"
"stagiaire pfe contrôle de gestion - rémunéré |","banque, assurance, finances","gestion, comptabilité, finance","fraichement diplômé","bac +5 et plus","stage","non","casablanca"
"responsable trésorerie |","import, export","gestion, comptabilité, finance","senior (de 5 à 10 ans)","bac +5 et plus","cdi","non","casablanca"
"responsable service fidélisation / rétention - secteur assurance - h/f |","centres d´appel, hotline, call center","métiers des services","junior (de 3 à 5 ans)","bac +3","cdi","non","casablanca"
"responsable raffinage |","agroalimentaire","production, maintenance, qualité","junior (de 3 à 5 ans)","bac +5 et plus","cdi","non","casablanca"
"technicien supérieur sav -","santé, pharmacie, hôpitaux, équipements médicaux","production, maintenance, qualité","senior (de 5 à 10 ans)","bac +3","cdi","non","casablanca"
"chargé marketing et communication |","agroalimentaire","marketing, communication","senior (de 5 à 10 ans)","bac +5 et plus","cdi","non","rabat"
"chef de projet senior digital |","marketing, communication, médias","informatique, nouvelles technologies","junior (de 3 à 5 ans)","bac +5 et plus","cdi","non","casablanca"
"chargé(e) de mission audit fournisseurs |","conseil, audit, comptabilité","gestion, comptabilité, finance","junior (de 3 à 5 ans)","bac +5 et plus","cdi","non","agadir"
"lead développement qualité fournisseur - assurance qualité fournisseurs |","agroalimentaire","achats","senior (de 5 à 10 ans)","bac +5 et plus","cdi","non","agadir"
